proto,state,service,dur,sbytes,dbytes,spkts,dpkts,sload,dload,sttl,dttl,smean,dmean,sinpkt,label
tcp,FIN,-,0.051219,2646,23508,42,42,403444.0313,3584451.0,31,29,63,560,1.272275,0
udp,CON,dns,0.00118,146,178,2,2,494915.25,603389.8125,31,29,73,89,0.008,0
udp,INT,-,1e-06,78,0,2,0,312000000.0,0.0,254,0,39,0,0.001,0
udp,CON,dns,0.001031,132,164,2,2,512124.125,636275.4375,31,29,66,82,0.009,0
tcp,FIN,-,0.086992,4238,63516,72,74,384403.1563,5762185.0,31,29,59,858,1.2379,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,http,0.003871,1040,824,8,10,1880651.0,1533453.875,31,29,130,82,0.505857,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,smtp,0.678805,37152,3380,52,42,429437.0313,38891.875,31,29,714,80,13.302706,0
udp,CON,dns,0.001128,146,178,2,2,517730.5,631205.6875,31,29,73,89,0.01,0
tcp,FIN,-,0.156334,4240,2664,20,22,206122.7969,130131.6406,31,29,212,121,8.210579,0
udp,CON,dns,0.000978,130,162,2,2,531697.3125,662576.6875,31,29,65,81,0.006,0
tcp,FIN,http,0.003996,1052,824,8,10,1843843.75,1485485.375,31,29,132,82,0.522857,0
icmp,ECO,-,4e-06,168,0,2,0,168000000.0,0.0,63,0,84,0,0.004,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.688,0
udp,CON,dns,0.001105,146,178,2,2,528506.75,644343.875,31,29,73,89,0.01,0
tcp,FIN,-,1.05025,564,354,10,8,3869.554688,2361.342529,254,252,56,44,110.515111,1
unas,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
udp,CON,dns,0.001059,146,178,2,2,551463.625,672332.375,31,29,73,89,0.009,0
tcp,FIN,ftp,1.113457,1088,1650,20,22,7429.115234,11316.1084,62,252,54,75,58.603,1
tcp,FIN,http,0.29592,826,268,10,6,20113.54297,6055.69043,254,252,83,45,28.452111,1
mhrp,INT,-,8e-06,200,0,2,0,100000000.0,0.0,254,0,100,0,0.008,1
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
tcp,FIN,-,0.678745,756,268,10,6,8026.578613,2640.166992,254,252,76,45,73.283222,1
udp,CON,-,0.007516,520,304,4,4,415114.4375,242682.2813,31,29,130,76,2.263,0
tcp,FIN,-,1.18175,2516,268,10,6,15333.19141,1516.395142,254,252,252,45,131.305556,0
tcp,FIN,-,4.468003,13454,548216,234,438,23987.45117,979345.875,31,29,57,1252,19.174171,0
tcp,FIN,smtp,0.029407,37372,3276,52,40,9971503.0,869180.8125,31,29,719,82,0.58094,0
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
tcp,FIN,-,0.866095,534,354,10,8,4442.930664,2863.427246,254,252,53,44,91.458889,0
udp,CON,dns,0.001012,130,162,2,2,513833.9688,640316.1875,31,29,65,81,0.006,0
udp,INT,-,0.000108,503,0,2,0,18666666.0,0.0,64,0,252,0,0.108,0
tcp,FIN,-,0.489364,612,268,10,6,9007.610352,3661.895752,254,252,61,45,54.276,0
ib,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
unas,INT,-,5e-06,200,0,2,0,160000000.0,0.0,254,0,100,0,0.005,1
tcp,FIN,ftp,3.6079,1272,1602,24,22,2702.95752,3392.55542,62,252,53,73,156.865219,1
tcp,FIN,-,0.569196,558,354,10,8,7069.621094,4357.022949,254,252,56,44,63.244,0
tcp,FIN,ftp-data,0.3385,424,8824,8,12,8768.094727,191172.8281,31,29,53,735,48.312144,0
tcp,FIN,-,0.945278,1074,752,12,8,8336.171875,5568.732422,254,252,90,94,85.854089,0
tcp,FIN,http,1.253804,818,354,10,8,4702.489746,1977.980713,254,252,82,44,135.852667,1
tcp,FIN,http,0.274278,800,1324,10,8,21000.58984,33805.11719,62,252,80,166,30.475333,1
udp,CON,dns,0.001081,146,178,2,2,540240.5625,658649.4375,31,29,73,89,0.008,0
tcp,FIN,http,0.588051,794,1202,10,8,9727.046875,14311.68359,62,252,79,150,65.339,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.852,0
tcp,FIN,-,0.7615,534,268,10,6,5053.18457,2353.250244,254,252,53,45,79.681444,0
udp,INT,dns,2e-06,114,0,2,0,228000000.0,0.0,254,0,57,0,0.002,1
tcp,FIN,-,0.037924,1470,1728,22,14,296171.2813,338571.875,31,29,67,123,1.805905,0
udp,INT,dns,2e-06,114,0,2,0,228000000.0,0.0,254,0,57,0,0.002,1
udp,CON,dns,0.00103,146,178,2,2,566990.25,691262.125,31,29,73,89,0.003,0
udp,INT,dns,3e-06,114,0,2,0,152000000.0,0.0,254,0,57,0,0.003,1
tcp,FIN,smtp,0.605977,3384,736,14,12,41493.32422,8911.229492,254,252,242,61,46.538769,1
udp,CON,dns,0.001176,130,162,2,2,442176.875,551020.4375,31,29,65,81,0.009,0
tcp,FIN,-,0.414147,586,268,10,6,10199.27734,4326.966309,254,252,59,45,42.144889,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.736,0
tcp,FIN,ftp-data,0.435116,424,8824,8,12,6821.169434,148723.5625,31,29,53,735,62.111574,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,-,0.037164,2958,33044,48,50,623614.25,6971047.5,31,29,62,661,0.819156,0
udp,INT,-,3e-06,104,0,2,0,138666656.0,0.0,254,0,52,0,0.003,1
tcp,FIN,ssh,0.007274,3728,5474,32,24,3972504.75,5769590.5,31,29,117,228,0.234645,0
tcp,FIN,-,0.030329,1064,2364,12,14,257443.375,579247.5625,31,29,89,169,2.724727,0
tcp,CON,-,0.141734,986,86,6,2,46396.76953,2427.081543,62,252,164,43,28.3468,0
udp,CON,-,0.001555,520,304,4,4,2006430.875,1172990.375,31,29,130,76,0.387,0
tcp,FIN,-,0.013223,1540,1644,16,18,873629.3125,939575.0,31,29,96,91,0.860667,0
udp,CON,dns,0.001048,130,162,2,2,496183.2188,618320.625,31,29,65,81,0.009,0
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
tcp,FIN,-,0.747729,490,354,10,8,4718.287109,3316.709717,254,252,49,44,82.990778,0
tcp,FIN,-,0.021792,3062,32940,50,48,1101688.625,11840675.0,31,29,61,686,0.4475,0
tcp,FIN,-,0.024759,1540,1644,16,18,466577.8125,501797.3125,31,29,96,91,1.630533,0
tcp,FIN,ssh,0.007744,3728,5474,32,24,3731405.0,5419421.5,31,29,117,228,0.258133,0
tcp,FIN,-,0.848961,27598,764,30,14,251403.7813,6690.53125,254,252,920,55,29.274517,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,-,0.018524,1540,1644,16,18,623623.375,670697.4375,31,29,96,91,1.211267,0
tcp,FIN,http,1.50943,792,1150,10,10,3778.909912,5485.51416,62,252,79,115,167.714444,0
tcp,FIN,http,0.518648,868,1100,10,8,12062.12988,14854.00391,62,252,87,138,57.627556,0
udp,INT,-,9e-06,104,0,2,0,46222220.0,0.0,254,0,52,0,0.009,0
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
tcp,FIN,smtp,0.023895,37372,3380,52,42,12271689.0,1104833.625,31,29,719,80,0.47088,0
tcp,FIN,-,1.028349,40090,2826,48,22,305382.6875,20988.98242,254,252,835,128,21.879766,1
tcp,FIN,http,0.004037,1042,824,8,10,1807282.75,1470398.875,31,29,130,82,0.526286,0
tcp,FIN,ftp-data,0.008028,8928,320,14,6,8262083.0,266068.7813,31,29,638,53,0.617538,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,http,0.801549,810,1230,10,10,7275.911621,11048.60645,62,252,81,123,89.061,0
udp,CON,dns,0.001168,146,178,2,2,499999.9688,609589.0,31,29,73,89,0.009,0
unas,INT,-,3e-06,200,0,2,0,266666656.0,0.0,254,0,100,0,0.003,1
tcp,FIN,-,0.007219,3936,2456,18,18,4120238.5,2570993.25,31,29,219,136,0.405882,0
tcp,FIN,-,1.332773,7818,15180,122,126,46543.5625,90397.99219,31,29,64,120,11.011487,0
tcp,FIN,-,0.59093,828,268,10,6,10099.33496,3032.508057,254,252,83,45,62.255667,0
tcp,FIN,-,0.868873,624,354,10,8,5174.519043,2854.272217,254,252,62,44,92.799444,0
tcp,FIN,-,0.043852,2438,19266,38,40,433093.125,3426981.5,31,29,64,482,1.176919,0
tcp,FIN,-,0.256129,2054,2478,22,24,61250.38672,74181.36719,31,29,93,103,12.179953,0
tcp,FIN,-,0.017033,2958,32642,48,50,1360652.875,15024952.0,31,29,62,653,0.35283,0
ddx,INT,-,5e-06,200,0,2,0,160000000.0,0.0,254,0,100,0,0.005,1
tcp,FIN,-,0.062044,1958,2308,22,24,240990.2656,285216.9375,31,29,89,96,2.937667,0
udp,CON,dns,0.001054,146,178,2,2,554079.6875,675521.8125,31,29,73,89,0.009,0
tcp,CON,-,0.583391,986,86,6,2,11272.02832,589.656006,62,252,164,43,116.6782,0
tcp,FIN,-,0.839224,994,268,10,6,8531.691406,2135.305908,254,252,99,45,84.060111,0
udp,INT,dns,2e-06,114,0,2,0,228000000.0,0.0,254,0,57,0,0.002,1
udp,CON,-,0.001735,544,304,4,4,1881268.0,1051296.75,31,29,136,76,0.459333,0
tcp,FIN,http,2.740648,18266,1087890,342,746,53164.07031,3171314.25,31,29,53,1458,8.036164,0
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
udp,CON,dns,0.001034,130,162,2,2,502901.375,626692.5,31,29,65,81,0.008,0
udp,INT,-,3e-06,168,0,2,0,224000000.0,0.0,254,0,84,0,0.003,1
udp,CON,dns,0.001087,146,178,2,2,537258.5,655013.8125,31,29,73,89,0.01,0
tcp,FIN,-,0.072057,4238,63516,72,74,464077.0313,6956492.5,31,29,59,858,1.039246,0
tcp,FIN,-,2.042059,1540,1644,16,18,5657.035645,6084.055664,31,29,96,91,136.101197,0
tcp,FIN,-,0.024869,3614,50036,60,62,1143270.75,15836262.0,31,29,60,807,0.416136,0
tcp,FIN,-,0.015963,2974,30506,48,50,1459876.0,14982648.0,31,29,62,610,0.340022,0
udp,CON,dns,0.001033,146,178,2,2,565343.6875,689254.625,31,29,73,89,0.008,0
udp,CON,dns,0.001077,130,162,2,2,482822.625,601671.25,31,29,65,81,0.009,0
udp,INT,-,9e-06,104,0,2,0,46222220.0,0.0,254,0,52,0,0.009,1
udp,CON,dns,0.001051,146,178,2,2,555661.3125,677450.0625,31,29,73,89,0.008,0
tcp,FIN,-,1.430433,1002,822,12,10,5139.702148,4138.606934,254,252,84,82,128.741187,1
udp,INT,dns,5e-06,114,0,2,0,91200000.0,0.0,254,0,57,0,0.005,1
udp,INT,dns,1e-06,114,0,2,0,456000000.0,0.0,254,0,57,0,0.001,1
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,-,0.034882,4550,72810,78,80,1030216.125,16489879.0,31,29,58,910,0.448857,0
udp,CON,-,0.004793,568,312,4,4,711036.9375,390569.5938,31,29,142,78,1.275333,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.748,0
tcp,FIN,-,0.977863,7812,15048,122,126,63387.20313,122135.7188,31,29,64,119,8.07857,0
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
sccopmce,INT,-,8e-06,200,0,2,0,100000000.0,0.0,254,0,100,0,0.008,1
udp,CON,dns,0.001066,146,178,2,2,547842.4375,667917.4375,31,29,73,89,0.007,0
udp,INT,-,2e-06,1098,0,2,0,2196000000.0,0.0,254,0,549,0,0.002,0
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
udp,INT,dns,2e-06,114,0,2,0,228000000.0,0.0,254,0,57,0,0.002,1
tcp,FIN,-,0.789464,1536,556,16,10,14592.17871,5076.862305,254,252,96,56,52.630932,0
udp,INT,-,9e-06,332,0,2,0,147555552.0,0.0,254,0,166,0,0.009,0
tcp,FIN,-,0.006097,1958,2308,22,24,2452353.5,2902411.0,31,29,89,96,0.273857,0
udp,CON,dns,0.001147,146,178,2,2,509154.3125,620749.75,31,29,73,89,0.009,0
tcp,FIN,-,1.133461,814,764,14,14,5335.869629,5011.200195,254,252,58,55,87.189305,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
unas,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
udp,INT,dns,3e-06,114,0,2,0,152000000.0,0.0,254,0,57,0,0.003,1
tcp,FIN,-,1.049325,810,764,14,14,5740.833496,5413.003418,254,252,58,55,80.717305,0
tcp,FIN,-,0.03496,4550,72810,78,80,1027917.563,16453088.0,31,29,58,910,0.455816,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
udp,CON,dns,0.001034,130,162,2,2,502901.375,626692.5,31,29,65,81,0.009,0
tcp,FIN,http,0.851944,872,1170,10,8,7371.376465,9615.655273,62,252,87,146,94.660444,0
tcp,FIN,ftp,0.412445,2934,3742,52,54,55823.19922,71243.4375,31,29,56,69,8.586187,0
tcp,FIN,http,1.256056,1032,354,10,8,5916.934082,1974.434326,254,252,103,44,139.481,1
udp,INT,dns,1e-06,114,0,2,0,456000000.0,0.0,254,0,57,0,0.001,1
tcp,RST,-,0.096535,258,86,6,2,17817.37305,3563.474609,254,60,43,43,19.307,0
udp,INT,dns,3e-06,114,0,2,0,152000000.0,0.0,254,0,57,0,0.003,1
udp,CON,dns,0.001118,146,178,2,2,522361.3438,636851.5,31,29,73,89,0.01,0
tcp,FIN,http,0.004242,1052,824,8,10,1736916.5,1399339.875,31,29,132,82,0.556143,0
tcp,FIN,ftp,0.845656,2934,3742,52,54,27226.20117,34746.99219,31,29,56,69,16.90688,0
tcp,FIN,-,0.048891,3926,57474,66,68,632754.5,9266163.0,31,29,59,845,0.747277,0
tcp,FIN,smtp,0.531742,37938,3276,54,40,560211.5625,48068.42578,31,29,703,82,10.026358,0
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
tcp,FIN,smtp,0.043778,37210,3380,52,42,6669103.5,603042.625,31,29,716,80,0.851196,0
tcp,FIN,-,0.787421,680,268,10,6,6217.766602,2275.783936,254,252,68,45,84.574778,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
udp,INT,-,1.1e-05,1548,0,2,0,562909056.0,0.0,254,0,774,0,0.011,0
udp,CON,dns,0.001098,130,162,2,2,473588.3438,590163.9375,31,29,65,81,0.01,0
udp,CON,dns,0.001119,130,162,2,2,464700.625,579088.4375,31,29,65,81,0.01,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,0.0,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,ftp,1.103732,586,682,12,12,3899.497314,4537.333496,254,252,49,57,100.33927,0
tcp,FIN,http,0.157147,15880,268,20,6,767994.25,11403.33496,254,252,794,45,7.562158,1
tcp,FIN,-,0.390868,13454,548216,234,438,274199.9688,11194879.0,31,29,57,1252,1.69074,0
udp,CON,dns,0.000966,130,162,2,2,538302.25,670807.4375,31,29,65,81,0.004,0
tcp,FIN,-,0.029976,3598,48710,60,62,944488.9375,12790233.0,31,29,60,786,0.511328,0
udp,CON,-,0.004494,568,312,4,4,758344.4375,416555.375,31,29,142,78,1.191,0
udp,INT,-,9e-06,168,0,2,0,74666664.0,0.0,254,0,84,0,0.009,1
tcp,FIN,smtp,1.045187,37358,3068,52,36,280447.4375,22832.27734,31,29,718,85,20.487156,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.636,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.744,0
unas,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.672,0
udp,CON,dns,0.001087,146,178,2,2,537258.5,655013.8125,31,29,73,89,0.008,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.7,0
udp,INT,-,0.000108,503,0,2,0,18666666.0,0.0,64,0,252,0,0.108,0
udp,INT,-,4e-06,1794,0,2,0,1794000000.0,0.0,254,0,897,0,0.004,0
udp,INT,-,4e-06,278,0,2,0,278000000.0,0.0,254,0,139,0,0.004,1
udp,CON,dns,0.001057,146,178,2,2,552507.0625,673604.5,31,29,73,89,0.008,0
tcp,FIN,-,0.675544,1506,268,10,6,16058.16895,2652.676758,254,252,151,45,69.122667,1
unas,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
unas,INT,-,4e-06,200,0,2,0,200000000.0,0.0,254,0,100,0,0.004,1
ospf,REQ,-,58.411156,13600,0,50,0,1825.404785,0.0,254,0,272,0,1242.1865,1
tcp,FIN,ftp,0.022061,2934,3742,52,54,1043651.688,1331943.25,31,29,56,69,0.42649,0
tcp,FIN,-,0.056989,2974,30506,48,50,408921.0313,4196740.0,31,29,62,610,1.231957,0
tcp,FIN,ssh,1.827511,24552,29556,234,238,107022.0703,128839.7188,31,29,105,124,7.843395,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.688,0
tcp,FIN,smtp,0.020269,37358,3276,52,40,14461492.0,1261039.0,31,29,718,82,0.406429,0
unas,INT,-,6e-06,200,0,2,0,133333328.0,0.0,254,0,100,0,0.006,1
tcp,FIN,http,0.877234,814,2166,10,8,6684.647461,17290.71094,62,252,81,271,97.470444,1
tcp,FIN,-,0.013083,1540,1644,16,18,882977.9375,949629.3125,31,29,96,91,0.850067,0
tcp,FIN,pop3,2.227856,950,4990,20,22,3242.57959,17107.03125,62,252,48,227,117.255582,1
tcp,FIN,-,0.034133,2958,32642,48,50,678991.0625,7497730.0,31,29,62,653,0.719681,0
unas,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,-,0.017153,2958,33044,48,50,1351133.875,15103597.0,31,29,62,661,0.358043,0
unas,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
udp,CON,dns,0.001053,146,178,2,2,554605.875,676163.375,31,29,73,89,0.01,0
sctp,INT,-,4e-06,104,0,2,0,104000000.0,0.0,254,0,52,0,0.004,1
tcp,FIN,-,1.742983,1106,838,12,10,4654.090332,3465.323486,254,252,92,84,156.276813,0
udp,INT,-,1e-05,1064,0,2,0,425600000.0,0.0,254,0,532,0,0.01,1
udp,CON,dns,0.001036,132,164,2,2,509652.5313,633204.625,31,29,66,82,0.009,0
tcp,FIN,-,0.038924,5174,83812,90,92,1051690.5,17038536.0,31,29,57,911,0.438466,0
udp,CON,dns,0.00099,130,162,2,2,525252.5625,654545.5,31,29,65,81,0.001,0
tcp,FIN,ftp-data,0.280101,424,8824,8,12,10596.17773,231030.9531,31,29,53,735,39.964001,0
tcp,FIN,http,0.638583,798,354,10,8,9007.443359,3883.598389,254,252,80,44,69.099444,1
tcp,CON,-,1.516133,978,86,6,2,4300.414551,226.893036,62,252,163,43,303.2266,0
gmtp,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
tcp,FIN,ssh,0.00628,3728,5474,32,24,4601274.0,6682802.5,31,29,117,228,0.202581,0
unas,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
udp,CON,dns,0.001019,130,162,2,2,510304.25,635917.5625,31,29,65,81,0.008,0
tcp,FIN,http,0.003777,1052,824,8,10,1950754.625,1571617.75,31,29,132,82,0.490714,0
udp,CON,dns,0.001038,130,162,2,2,500963.4063,624277.4375,31,29,65,81,0.01,0
tcp,FIN,-,0.061974,3614,50036,60,62,458773.0313,6354794.0,31,29,60,807,1.063086,0
tcp,FIN,-,7.392973,7820,15736,122,126,8392.834961,16893.88086,31,29,64,125,61.096197,0
tcp,FIN,-,0.006202,3744,2456,18,18,4561109.0,2992583.0,31,29,208,136,0.346118,0
udp,CON,-,0.002073,528,304,4,4,1528220.0,879884.25,31,29,132,76,0.554,0
udp,INT,-,6e-06,1064,0,2,0,709333312.0,0.0,254,0,532,0,0.006,0
tcp,FIN,http,1.094962,1580,10168,12,18,10586.66895,70168.64844,31,29,132,565,99.511635,0
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
tcp,CON,-,0.502534,978,86,6,2,12974.24707,684.530823,62,252,163,43,100.5068,0
pnni,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
tcp,FIN,smtp,3.316393,4480,1732,24,20,10358.24219,3970.579102,62,252,187,87,144.190995,1
udp,CON,-,0.001631,520,304,4,4,1912936.875,1118332.375,31,29,130,76,0.419333,0
tcp,FIN,-,0.383667,4536,3080,28,30,91204.09375,62095.51563,31,29,162,103,14.190185,0
kryptolan,INT,-,8e-06,200,0,2,0,100000000.0,0.0,254,0,100,0,0.008,1
tcp,FIN,-,5.694788,564,354,10,8,713.63501,435.485931,254,252,56,44,629.704444,1
tcp,FIN,-,0.505569,486,354,10,8,6930.805176,4905.364258,254,252,49,44,56.174333,0
pim,INT,-,6e-06,200,0,2,0,133333328.0,0.0,254,0,100,0,0.006,1
tcp,FIN,http,0.051301,1052,824,8,10,143622.9375,115709.25,31,29,132,82,7.276428,0
arp,INT,-,0.0,46,0,1,0,0.0,0.0,0,0,46,0,60000.676,0
tcp,FIN,http,1.95687,68197,698,60,16,274156.1875,2677.745605,254,252,1137,44,33.158645,0
tcp,FIN,-,0.423336,546,268,10,6,9297.579102,4233.044434,254,252,55,45,43.064444,0
tcp,FIN,-,0.013157,1540,1644,16,18,878011.6875,944288.25,31,29,96,91,0.856267,0
idpr-cmtp,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
udp,CON,dns,0.001,146,178,2,2,584000.0,711999.9375,31,29,73,89,0.009,0
tcp,FIN,-,1.007652,26636,728,32,14,204864.375,5366.932129,254,252,832,52,31.545418,0
udp,CON,dns,0.001171,146,178,2,2,498719.0625,608027.375,31,29,73,89,0.01,0
tcp,FIN,http,1.139906,1684,10168,14,18,10976.34277,67402.04688,31,29,120,565,87.656385,0
tcp,FIN,-,0.662991,534,354,10,8,5804.000488,3740.624023,254,252,53,44,71.408778,0
tcp,FIN,http,1.27093,840,1108,10,8,4758.719727,6105.764648,62,252,84,139,141.214444,0
tcp,FIN,-,0.279013,534,268,10,6,13791.47168,6422.639648,254,252,53,45,29.698667,0
tcp,FIN,-,0.593843,13350,548216,232,438,179077.6406,7368480.0,31,29,58,1252,2.569307,0
tcp,FIN,smtp,3.038617,100055,2156,94,30,260621.2031,5489.339355,62,252,1064,72,32.673301,1
tcp,FIN,-,0.004473,1470,1728,22,14,2511066.5,2870556.75,31,29,67,123,0.235421,0
tcp,FIN,-,0.643659,12726,548216,220,438,157462.2656,6798196.0,31,29,58,1252,2.95105,0
tcp,FIN,ssh,0.006677,3624,5578,30,26,4198292.5,6426838.5,31,29,121,215,0.230241,0
